Аналитик Data Scientist,https://krasnodar.hh.ru/vacancy/55316490?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ИНВИТРО,https://hh.ru/,,,
Data scientist Управления модельных рисков и валидации,https://krasnodar.hh.ru/vacancy/54585048?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Банк ВТБ (ПАО),https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/54920334?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Яндекс,https://hh.ru/,,,
Data scientist / Исследователь-программист данных,https://krasnodar.hh.ru/vacancy/55306481?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО РТК Автоматика,https://hh.ru/,115000172000.0,115000172000.0,руб.
Data-Scientist/Researcher,https://krasnodar.hh.ru/vacancy/55348074?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Star-Staff,https://hh.ru/,,,
Research Engineer / Data Scientist,https://krasnodar.hh.ru/vacancy/50072394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,The Skolkovo Institute of Science and Technology,https://hh.ru/,,,
Senior Data scientist / Team lead Data scientist,https://krasnodar.hh.ru/vacancy/54913575?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"ПАО МегаФон, IT",https://hh.ru/,,,
Senior Data Scientist,https://krasnodar.hh.ru/vacancy/55532051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Bell Integrator,https://hh.ru/,,,
Data engineer \ analyst (развитие источников данных Big Data),https://krasnodar.hh.ru/vacancy/55349207?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Tele2,https://hh.ru/,,,
Data Scientist (Fintech),https://krasnodar.hh.ru/vacancy/54694063?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,РобоФинанс,https://hh.ru/,,,
Lead data scientist,https://krasnodar.hh.ru/vacancy/52421169?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Дром,https://hh.ru/,300000.0,300000.0,руб.
Методолог данных (Data Steward),https://krasnodar.hh.ru/vacancy/55529618?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,АО ФИНАМ,https://hh.ru/,,,
Data scientist (middle/senior),https://krasnodar.hh.ru/vacancy/51812421?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,СберМегаМаркет,https://hh.ru/,,,
Data engineer (Middle/Senor),https://krasnodar.hh.ru/vacancy/55216592?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,билайн: ИТ и Digital,https://hh.ru/,,,
Data Scientist (Telco),https://krasnodar.hh.ru/vacancy/55333690?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Sifox,https://hh.ru/,,,
Аналитик/Data Scientist,https://krasnodar.hh.ru/vacancy/51895906?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО Инновационная мобильность,https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/55276605?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"Hi, Rockits!",https://hh.ru/,,,
Администратор на ML платформу (MLOps),https://krasnodar.hh.ru/vacancy/55062779?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,билайн: ИТ и Digital,https://hh.ru/,,,
Lead data scientist (Антифрод),https://krasnodar.hh.ru/vacancy/55424210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер для экспертов,https://hh.ru/,,,
Senior Data Scientist (оценка моделей),https://krasnodar.hh.ru/vacancy/55307831?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"«РОСБАНК, Societe Generale Group»",https://hh.ru/,,,
Data Analyst ( Data Scientist ),https://krasnodar.hh.ru/vacancy/55185255?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО МКК КапиталЪ-НТ,https://hh.ru/,,,
Data scientist,https://krasnodar.hh.ru/vacancy/54854359?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"ПАО МегаФон, IT",https://hh.ru/,,,
Lead Data Scientist ML/CV,https://krasnodar.hh.ru/vacancy/55120326?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер для экспертов,https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/55288167?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Marksman,https://hh.ru/,,,
ML Engineer/ Data Scientist (WAF),https://krasnodar.hh.ru/vacancy/55302256?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Positive Technologies,https://hh.ru/,,,
Senior Data Scientist (remote),https://krasnodar.hh.ru/vacancy/52248238?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,РобоФинанс,https://hh.ru/,,,
Data Scientist / ML-разработчик,https://krasnodar.hh.ru/vacancy/55232457?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,https://hh.ru/,150000200000.0,150000200000.0,руб.
Data Scientist (Asia),https://krasnodar.hh.ru/vacancy/55301713?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ID Finance,https://hh.ru/,,,
Data scientist/разработка моделей оценки кредитного риска для клиентов малого и среднего бизнеса,https://krasnodar.hh.ru/vacancy/43694876?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Diamond Personnel R&C,https://hh.ru/,,,
Data scientist,https://krasnodar.hh.ru/vacancy/55262041?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,АО ФИНАМ,https://hh.ru/,,,
Data Scientist в направление «Ценообразование»,https://krasnodar.hh.ru/vacancy/51649877?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Профи (profi.ru),https://hh.ru/,,,
Дата-сайентист / Data Scientist [Computer Vision],https://krasnodar.hh.ru/vacancy/55142314?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО ГридПоинт Дайнамикс,https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/55232568?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"ООО Mars (CHOCOLATE, PETCARE, FOOD)",https://hh.ru/,,,
Data Scientist,https://krasnodar.hh.ru/vacancy/55171134?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Wisebits,https://hh.ru/,4000.0,4000.0,руб.
Middle ML / Data Science разработчик,https://krasnodar.hh.ru/vacancy/55277835?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Центр хранения и анализа больших данных,https://hh.ru/,170000.0,170000.0,руб.
Data Analyst / Data Scientist (SQL/Oracle),https://krasnodar.hh.ru/vacancy/55221077?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,"ВСК, САО",https://hh.ru/,,,
Data Scientist (SberDevices),https://krasnodar.hh.ru/vacancy/51784863?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер. IT,https://hh.ru/,,,
Data-scientist / Anti-fraud / Scorecard developer,https://krasnodar.hh.ru/vacancy/55185669?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,ООО МКК КапиталЪ-НТ,https://hh.ru/,,,
Руководитель направления оптимизации рекламы / Data Scientist,https://krasnodar.hh.ru/vacancy/55387911?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20Scientist,Сбер для экспертов,https://hh.ru/,,,
